Rank,Title,Year,Duration,Rating,Poster_URL
104,Scarface,1983,2h 50m,8.3 (1M),"https://m.media-amazon.com/images/M/MV5BNDUzYjY0NmUtMDM4OS00Y2Q5LWJiODYtNTk0ZTk0YjZhMTg1XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
105,Double Indemnity,1944,1h 47m,8.3 (180K),"https://m.media-amazon.com/images/M/MV5BM2YwNjZlZDktNTlmNS00ODQwLWJmNmUtYmE1NTBhYjc1YTY5XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
106,Up,2009,1h 36m,8.3 (1.2M),"https://m.media-amazon.com/images/M/MV5BNmI1ZTc5MWMtMDYyOS00ZDc2LTkzOTAtNjQ4NWIxNjYyNDgzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
107,North by Northwest,1959,2h 16m,8.3 (368K),"https://m.media-amazon.com/images/M/MV5BZWIzODI2OGItMzM0Ny00OGRmLTlkNmItMDQxMTFmMTk3YmQwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
108,Like Stars on Earth,2007,2h 42m,8.3 (230K),"https://m.media-amazon.com/images/M/MV5BNjVmMTlkNGYtYTM2OC00Yjc2LWIyYmQtMDY4ZmU1MWRlMjA3XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
109,Full Metal Jacket,1987,1h 56m,8.2 (846K),"https://m.media-amazon.com/images/M/MV5BYWUzNzZkNzUtNDdiYy00Nzk5LTgxMmItNTk0MjRjNjdjNDA0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
110,M,1931,1h 39m,8.3 (182K),"https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_QL75_UX90_CR0,1,90,133_.jpg"
111,Citizen Kane,1941,1h 59m,8.2 (492K),"https://m.media-amazon.com/images/M/MV5BYjk1ZDJlMmUtOWQ0Zi00MDM5LTk1OGYtODczNjFmMGYwZGVkXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
112,Amélie,2001,2h 2m,8.3 (836K),"https://m.media-amazon.com/images/M/MV5BOTNmYzY0MWQtZGZmNy00Y2Y4LWFmMDQtMTZjYTdiYzEwZGQ2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
113,Vertigo,1958,2h 8m,8.2 (457K),"https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
114,A Separation,2011,2h 3m,8.3 (276K),"https://m.media-amazon.com/images/M/MV5BMDM0ZWRmMzctM2M5ZS00ZjU0LWIxN2MtNWNlNGY1ZDhjMDVhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
115,Die Hard,1988,2h 12m,8.2 (1M),"https://m.media-amazon.com/images/M/MV5BMGNlYmM1NmQtYWExMS00NmRjLTg5ZmEtMmYyYzJkMzljYWMxXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
116,To Kill a Mockingbird,1962,2h 9m,8.2 (350K),"https://m.media-amazon.com/images/M/MV5BZTlkYWU4MGEtZmQyYi00OWEzLTgzY2EtYzVjOTEzYzAyNTk1XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
117,The Sting,1973,2h 9m,8.2 (299K),"https://m.media-amazon.com/images/M/MV5BZGI4OTk4MDMtYmQ1Ni00YTUzLTkyYTktZGUwMjMyN2M4NjQ5XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
118,Indiana Jones and the Last Crusade,1989,2h 7m,8.2 (859K),"https://m.media-amazon.com/images/M/MV5BNGIxNzQ0YzYtMjNmYi00YjBlLWFjNzEtNGE3ZGFmYTczM2MwXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
119,A Clockwork Orange,1971,2h 16m,8.2 (932K),"https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
120,Metropolis,1927,2h 33m,8.2 (200K),"https://m.media-amazon.com/images/M/MV5BMjhjMGYyMjAtMzJkYy00NzhlLWIwY2MtMWQ2ODIxZDUyOGYyXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
121,1917,2019,1h 59m,8.2 (763K),"https://m.media-amazon.com/images/M/MV5BYzkxZjg2NDQtMGVjMy00NWZkLTk0ZDEtZWE3NDYwYjAyMTg1XkEyXkFqcGc@._V1_QL75_UX90_CR0,5,90,133_.jpg"
122,Snatch,2000,1h 42m,8.2 (971K),"https://m.media-amazon.com/images/M/MV5BYzk5NjJkMTQtN2IyNC00YWM5LTlhZmMtNGI3MWNhMTU1YTc4XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
123,L.A. Confidential,1997,2h 18m,8.2 (656K),"https://m.media-amazon.com/images/M/MV5BODdiMjY1OGYtNDk0NC00NGQ1LWI4MDItOTJhMTM0YjE1YTAzXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
124,Downfall,2004,2h 36m,8.2 (398K),"https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_QL75_UY133_CR1,0,90,133_.jpg"
125,The Wolf of Wall Street,2013,3h,8.2 (1.8M),"https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
126,Dangal,2016,2h 41m,8.3 (240K),"https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_QL75_UY133_CR3,0,90,133_.jpg"
127,Bicycle Thieves,1948,1h 29m,8.2 (192K),"https://m.media-amazon.com/images/M/MV5BMjIzMzAyMzg1Nl5BMl5BanBnXkFtZTgwMzMyNzk0MTE@._V1_QL75_UY133_CR1,0,90,133_.jpg"
128,The Truman Show,1998,1h 43m,8.2 (1.4M),"https://m.media-amazon.com/images/M/MV5BNzA3ZjZlNzYtMTdjMy00NjMzLTk5ZGYtMTkyYzNiOGM1YmM3XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
129,Oppenheimer,2023,3h,8.2 (1M),"https://m.media-amazon.com/images/M/MV5BN2JkMDc5MGQtZjg3YS00NmFiLWIyZmQtZTJmNTM5MjVmYTQ4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
130,Green Book,2018,2h 10m,8.2 (676K),"https://m.media-amazon.com/images/M/MV5BNDU5YTNmMmItN2QxNy00OGQ0LTg5MTctNzFmYjEzZjcwN2UwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
131,Shutter Island,2010,2h 18m,8.2 (1.6M),"https://m.media-amazon.com/images/M/MV5BN2FjNWExYzEtY2YzOC00YjNlLTllMTQtNmIwM2Q1YzBhOWM1XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
132,Judgment at Nuremberg,1961,2h 59m,8.3 (96K),"https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_QL75_UX90_CR0,1,90,133_.jpg"
133,Batman Begins,2005,2h 20m,8.2 (1.7M),"https://m.media-amazon.com/images/M/MV5BMzA2NDQzZDEtNDU5Ni00YTlkLTg2OWEtYmQwM2Y1YTBjMjFjXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
134,Hamilton,2020,2h 40m,8.3 (138K),"https://m.media-amazon.com/images/M/MV5BYTc3MWIyMzAtMTZmNC00YmNjLWIyZTgtMmU4NjZkYzZkOThkXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
135,For a Few Dollars More,1965,2h 12m,8.2 (298K),"https://m.media-amazon.com/images/M/MV5BNTRmOTcyYmYtMTIwNi00ZGYyLTk4YjYtZGJlZTgwZGY0NGQyXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
136,Taxi Driver,1976,1h 54m,8.2 (1M),"https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
137,Jurassic Park,1993,2h 7m,8.2 (1.2M),"https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_QL75_UX90_CR0,1,90,133_.jpg"
138,Some Like It Hot,1959,2h 1m,8.2 (303K),"https://m.media-amazon.com/images/M/MV5BZTllZDYyNjEtY2RmMS00NmJhLWI4ODAtMTQ0NWFiZTJhZjA0XkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
139,There Will Be Blood,2007,2h 38m,8.2 (702K),"https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
140,The Kid,1921,1h 8m,8.2 (145K),"https://m.media-amazon.com/images/M/MV5BNjkxMzY1NTQtN2YwOS00NmIwLTlkNTMtMjNkMzk1ZTk3ZDU2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
141,The Father,2020,1h 37m,8.2 (242K),"https://m.media-amazon.com/images/M/MV5BYzUxMDAyMDAtNzIyZi00OGQ1LTllMjEtYzRjOThkZTUxNTliXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
142,All About Eve,1950,2h 18m,8.2 (148K),"https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_QL75_UX90_CR0,1,90,133_.jpg"
143,The Sixth Sense,1999,1h 47m,8.2 (1.1M),"https://m.media-amazon.com/images/M/MV5BZWQ2OTY0M2UtMTQxNC00MmIzLTllNDQtNDQ0MTQyYzI2M2ZiXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
144,Ran,1985,2h 40m,8.2 (151K),"https://m.media-amazon.com/images/M/MV5BZDk2NDY5YjktMjEyMC00OTJhLTkzM2EtY2Q4Y2RjYzc2Yjk4XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
145,Casino,1995,2h 58m,8.2 (614K),"https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
146,No Country for Old Men,2007,2h 2m,8.2 (1.2M),"https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_QL75_UY133_CR0,0,90,133_.jpg"
147,The Thing,1982,1h 49m,8.2 (522K),"https://m.media-amazon.com/images/M/MV5BYTA3NDU5MWEtNTk4Yy00ZDNkLThmZTQtMjU3ZGVhYzAyMzU4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
148,Top Gun: Maverick,2022,2h 10m,8.2 (847K),"https://m.media-amazon.com/images/M/MV5BMDBkZDNjMWEtOTdmMi00NmExLTg5MmMtNTFlYTJlNWY5YTdmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
149,Prisoners,2013,2h 33m,8.2 (923K),"https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_QL75_UY133_CR0,0,90,133_.jpg"
150,Kill Bill: Vol. 1,2003,1h 51m,8.2 (1.3M),"https://m.media-amazon.com/images/M/MV5BZmMyYzJlZmYtY2I3NC00NjAyLTkyZWItZjdjZDI1YTYyYTEwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
151,Pan's Labyrinth,2006,1h 58m,8.2 (743K),"https://m.media-amazon.com/images/M/MV5BOTc1NTAxMWItMWFlNy00MmU2LTkwMTMtNzMwOTg5OTQ5YTFiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
152,Unforgiven,1992,2h 10m,8.2 (466K),"https://m.media-amazon.com/images/M/MV5BNmZmMzM3YWMtZjg5Yi00M2MxLTg3ZGItNGU4YjQxNDAxM2Q4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
153,A Beautiful Mind,2001,2h 15m,8.2 (1M),"https://m.media-amazon.com/images/M/MV5BNzljZTk5ZDgtZTQ1Zi00NTM4LThlOGUtZDk2MGM4NDQ4NWQyXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
154,The Treasure of the Sierra Madre,1948,2h 6m,8.2 (141K),"https://m.media-amazon.com/images/M/MV5BOWM1YjFmODEtMWNhMC00YmI1LWI0Y2EtYzg0YTBhZWI4ODE3XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
155,Howl's Moving Castle,2004,1h 59m,8.2 (507K),"https://m.media-amazon.com/images/M/MV5BMTY1OTg0MjE3MV5BMl5BanBnXkFtZTcwNTUxMTkyMQ@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
156,Finding Nemo,2003,1h 40m,8.2 (1.2M),"https://m.media-amazon.com/images/M/MV5BMTc5NjExNTA5OV5BMl5BanBnXkFtZTYwMTQ0ODY2._V1_QL75_UX90_CR0,0,90,133_.jpg"
157,Yojimbo,1961,1h 50m,8.2 (142K),"https://m.media-amazon.com/images/M/MV5BYzFkODA1N2QtY2UyMC00NTMwLWEyNzctMmE3YjIzNzE1MzY4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
158,Klaus,2019,1h 36m,8.2 (234K),"https://m.media-amazon.com/images/M/MV5BZDA4ODhlMzctNGRmYi00NmViLTkxZGYtZjRkNGQ5YzYwYWVlXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
159,The Great Escape,1963,2h 52m,8.2 (276K),"https://m.media-amazon.com/images/M/MV5BMDRhNmJjMzEtMWU5MC00YmEyLTg3ZmYtNzYxZTI1ZGU4ZjI1XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
160,The Elephant Man,1980,2h 4m,8.2 (281K),"https://m.media-amazon.com/images/M/MV5BMGE3MDZhNmMtMmUxZS00MDJmLTgxYmQtOGU4ODU0Y2JmNDI1XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
161,Monty Python and the Holy Grail,1975,1h 31m,8.2 (601K),"https://m.media-amazon.com/images/M/MV5BYWY4YmUzZmUtMzQ0ZS00N2Y2LWJlODQtN2IwMDc1MWQwMmU3XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
162,The Best of Youth,2003,6h 14m,8.4 (28K),"https://m.media-amazon.com/images/M/MV5BYzcxMTE2YjUtMzIyMy00NDNjLWE3ZWYtODQzYmNhNDVhNDZmXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
163,Dial M for Murder,1954,1h 45m,8.1 (204K),"https://m.media-amazon.com/images/M/MV5BZmYzNDgzYjgtNmU3Ny00YzUxLWE3OWUtMjIxZmNkYTVhNDZmXkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg"
164,The Secret in Their Eyes,2009,2h 9m,8.2 (241K),"https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_QL75_UY133_CR0,0,90,133_.jpg"
165,Gone with the Wind,1939,3h 58m,8.2 (355K),"https://m.media-amazon.com/images/M/MV5BYmYxZTE3YzMtYmE2Yy00NmFlLTkzYTAtYTAzN2IzNDFkN2E0XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
166,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,2h 35m,8.4 (65K),"https://m.media-amazon.com/images/M/MV5BOGQ3YWUzYjEtMTJiYy00ZjQ0LWI0YjktYjhiNGVhNGExYTM3XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
167,Chinatown,1974,2h 10m,8.1 (375K),"https://m.media-amazon.com/images/M/MV5BNmRmZTE0NmUtZjhiZi00MzQ3LTk3ZjctN2Q3ODYzY2U3MDk3XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
168,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1 (648K),"https://m.media-amazon.com/images/M/MV5BMmY1M2M5ZmMtYzllZC00YzAxLTk4MjktZDJkNjA1MTUwMGQ4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
169,V for Vendetta,2005,2h 12m,8.1 (1.2M),"https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
170,Catch Me If You Can,2002,2h 21m,8.1 (1.2M),"https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_QL75_UX90_CR0,0,90,133_.jpg"
171,Inside Out,2015,1h 35m,8.1 (906K),"https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
172,Rashomon,1950,1h 28m,8.1 (195K),"https://m.media-amazon.com/images/M/MV5BZDlkYjViMDAtYjkxNy00ZDk1LWE5MmUtNDc4NDU3ZWJmOTYzXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
173,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1 (602K),"https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@._V1_QL75_UX90_CR0,0,90,133_.jpg"
174,The Chaos Class Failed the Class,1975,1h 35m,8.5 (30K),"https://m.media-amazon.com/images/M/MV5BZmY3MjVhMmQtOTcwYy00ZjcyLWFiZDgtN2JiODVjNjQzYWQyXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
175,Trainspotting,1996,1h 33m,8.1 (765K),"https://m.media-amazon.com/images/M/MV5BYmVkNGJkMzQtYWQwOS00OTZmLThjODQtZjNjNzllYzRiNTE0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
176,The Bridge on the River Kwai,1957,2h 41m,8.1 (248K),"https://m.media-amazon.com/images/M/MV5BNzdkYmU2YmItNmZiYy00OWQyLTg0YWYtZmUxM2U3YTRiNTQ1XkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
177,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1 (1M),"https://m.media-amazon.com/images/M/MV5BOTA1Mzc2N2ItZWRiNS00MjQzLTlmZDQtMjU0NmY1YWRkMGQ4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
178,Dead Poets Society,1989,2h 8m,8.1 (643K),"https://m.media-amazon.com/images/M/MV5BMDYwNGVlY2ItMWYxMS00YjZiLWE5MTAtYWM5NWQ2ZWJjY2Q3XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
179,The Wild Robot,2024,1h 42m,8.2 (216K),"https://m.media-amazon.com/images/M/MV5BZWNiZjVlZTUtNGUwYi00MjJmLTg2MDctNWEzYTJiMzY1ODc4XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
180,Warrior,2011,2h 20m,8.1 (526K),"https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_QL75_UX90_CR0,3,90,133_.jpg"
181,Fargo,1996,1h 38m,8.1 (781K),"https://m.media-amazon.com/images/M/MV5BNjg4MWE0MjEtODFhNy00MjA5LTg5ODktMzgwNWFmZTAwNjBlXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
182,Barry Lyndon,1975,3h 5m,8.1 (203K),"https://m.media-amazon.com/images/M/MV5BNmM2MGQ5Y2UtYzA3ZC00ZDJlLTkwNDYtMjBmZGExZDJiN2RlXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
183,Raging Bull,1980,2h 9m,8.1 (408K),"https://m.media-amazon.com/images/M/MV5BMjlkYmYyZWQtNTZkOS00ZjA0LWEwNWUtNzE2ZGNiYjg0MjA2XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
184,Ben-Hur,1959,3h 32m,8.1 (270K),"https://m.media-amazon.com/images/M/MV5BNjg2M2E1YzYtOThmMC00NjAyLWI5MzgtMDEwOGFiODdlOGUzXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
185,Million Dollar Baby,2004,2h 12m,8.1 (762K),"https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_QL75_UY133_CR0,0,90,133_.jpg"
186,Mad Max: Fury Road,2015,2h,8.1 (1.2M),"https://m.media-amazon.com/images/M/MV5BZDRkODJhOTgtOTc1OC00NTgzLTk4NjItNDgxZDY4YjlmNDY2XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
187,Children of Heaven,1997,1h 29m,8.2 (89K),"https://m.media-amazon.com/images/M/MV5BZWZlMjNhNzgtZGRhOS00Y2U5LThjOTctODNjZTI0ZTBiYzBhXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
188,Hacksaw Ridge,2016,2h 19m,8.1 (673K),"https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_QL75_UX90_CR0,3,90,133_.jpg"
189,Gran Torino,2008,1h 56m,8.1 (858K),"https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_QL75_UY133_CR0,0,90,133_.jpg"
190,My Neighbor Totoro,1988,1h 26m,8.1 (427K),"https://m.media-amazon.com/images/M/MV5BYWM3MDE3YjEtMzIzZC00ODE5LTgxNTItNmUyMTBkM2M2NmNiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
191,12 Years a Slave,2013,2h 14m,8.1 (783K),"https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
192,The Grand Budapest Hotel,2014,1h 39m,8.1 (961K),"https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
193,Ratatouille,2007,1h 51m,8.1 (933K),"https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
194,Before Sunrise,1995,1h 41m,8.1 (374K),"https://m.media-amazon.com/images/M/MV5BZDZhZmI1ZTUtYWI3NC00NTMwLTk3NWMtNDc0OGNjM2I0ZjlmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
195,Memories of Murder,2003,2h 11m,8.1 (262K),"https://m.media-amazon.com/images/M/MV5BYmRjOWE5NmMtYTdkYS00ODFlLWJiMTMtYzE2NDZlZjlkZDQ0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
196,Blade Runner,1982,1h 57m,8.1 (877K),"https://m.media-amazon.com/images/M/MV5BOWQ4YTBmNTQtMDYxMC00NGFjLTkwOGQtNzdhNmY1Nzc1MzUxXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
197,How to Train Your Dragon,2010,1h 38m,8.1 (886K),"https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
198,Spider-Man: No Way Home,2021,2h 28m,8.1 (1M),"https://m.media-amazon.com/images/M/MV5BMmFiZGZjMmEtMTA0Ni00MzA2LTljMTYtZGI2MGJmZWYzZTQ2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
199,Gone Girl,2014,2h 29m,8.1 (1.2M),"https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_QL75_UY133_CR0,0,90,133_.jpg"
200,"Monsters, Inc.",2001,1h 32m,8.1 (1.1M),"https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
201,Jaws,1975,2h 4m,8.1 (731K),"https://m.media-amazon.com/images/M/MV5BYjViNDQzNmUtYzkxZi00NTk5LTljMmItYjJlZmZkODIxNjU1XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
202,In the Name of the Father,1993,2h 13m,8.1 (202K),"https://m.media-amazon.com/images/M/MV5BMGZiZDVjNzYtZWM4ZC00MzVkLThhNDEtMDJlOTBhYzVjMmNhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
203,Ford v Ferrari,2019,2h 32m,8.1 (563K),"https://m.media-amazon.com/images/M/MV5BOTBjNTEyNjYtYjdkNi00YzE5LTljYzUtZjVlYmYwZmJmZWYxXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
204,Wild Tales,2014,2h 2m,8.1 (237K),"https://m.media-amazon.com/images/M/MV5BNzAzMjA1ODAxOV5BMl5BanBnXkFtZTgwODg4NTQzNDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
205,The Gold Rush,1925,1h 35m,8.1 (128K),"https://m.media-amazon.com/images/M/MV5BOTE1MWFkOWQtOWM1NC00ZjA4LTk5NmUtZTFjZDFjMzEwYTQzXkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg"
206,Sherlock Jr.,1924,45m,8.1 (65K),"https://m.media-amazon.com/images/M/MV5BMjQzM2E2NjYtYmRjMC00ZmVlLTljZTgtNmQ5MGZlNDYyZTc5XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
207,Mary and Max,2009,1h 32m,8.1 (201K),"https://m.media-amazon.com/images/M/MV5BNzY2Mjc4NjMtNGY4Mi00NzM5LTk3ZTQtN2VkNzVkMzRmM2Y2XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
208,The Deer Hunter,1978,3h 3m,8.1 (385K),"https://m.media-amazon.com/images/M/MV5BZGI4YmVhMzMtMWExMS00MGZiLTg2MmItM2I2MWZjODAyM2U5XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
209,The Wages of Fear,1953,2h 36m,8.1 (73K),"https://m.media-amazon.com/images/M/MV5BMDdhOGMwODQtZGM2MS00NGQxLWEyZDMtOTkzMjFjYjI3ZmM2XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
